St1_VL,St2_VL,St1_BF,St2_BF,St1_TA,St2_TA,St1_GAL,St2_GAL
-0.005872,0.037402,-0.005195,0.001779,0.012459,-0.012055,0.016199,0.005885
-0.000673,-0.015814,-0.001459,0.001875,0.006302,-0.033714,-0.005885,-0.021328
0.014846,-0.005623,0.003213,0.000576,0.026924,0.016772,-0.003341,-0.003402
-0.006401,0.010912,0.002351,0.000251,-0.094106,0.006478,-0.01067,0.012778
-0.003949,0.032975,-0.000221,-0.003401,-0.090099,0.002735,0.006261,0.011842
0.068609,-0.009173,-0.000382,0.000325,0.174064,-0.038577,0.014356,-0.010141
-0.025567,-0.005213,0.001748,0.002424,0.007644,-0.006054,-0.003674,-0.025234
0.01813,0.007325,0.004259,0.000938,-0.025209,0.002551,-0.002569,0.012425
-0.023857,0.050352,-0.001757,-0.001668,-0.043799,0.006857,-0.014326,0.001153
-0.076047,0.002742,-0.002657,-0.00641,-0.019772,-0.00134,0.01557,0.01095
0.004859,-0.024177,0.003227,-0.000327,-0.008151,0.008172,-0.002335,0.001261
0.009972,-0.001842,0.001495,0.001013,-0.054528,0.020598,-0.011081,0.011624
0.008948,0.04886,-2.4e-05,-0.000372,0.081106,-0.029336,0.003825,0.003928
0.029873,-0.064563,-0.006735,-0.002867,0.317728,-0.009355,0.024096,-0.018212
-0.000504,0.02176,-0.00435,0.003296,-0.395656,0.011907,-0.035482,-0.010406
-0.000495,-0.040745,0.002135,0.003197,0.043701,0.008659,0.017616,-0.011264
-0.005548,0.010155,0.004742,-0.002282,0.088115,0.065102,0.004419,-0.004043
-0.019191,0.010759,0.000922,0.004766,-0.01957,-0.062135,-0.002178,-0.017499
-0.005299,-0.00368,0.001812,0.001776,-0.047018,-0.004168,-0.002544,0.034254
0.044449,-0.006129,-0.001068,0.000892,-0.046311,0.012642,-0.001692,-0.031729
-0.026872,0.006113,-0.003924,-0.002231,-0.033426,0.019942,0.000388,-0.030169
-0.001997,0.033711,0.004623,0.002109,-0.034176,-0.008816,-0.005761,0.018028
0.058201,-0.022352,0.003501,-0.00211,-0.003932,0.011277,0.000723,-0.004464
0.021351,0.056574,-0.00132,-0.002027,0.008049,-0.033926,0.002172,0.022596
-0.063107,-0.035025,-0.002953,0.002832,0.010953,0.006502,0.001902,-0.006647
-0.092451,-0.001026,-0.001734,-0.004664,0.007307,0.014536,-0.008014,-0.022098
0.019575,0.015121,0.001771,0.003065,0.012193,0.039682,0.001026,0.002053
0.03635,-0.023489,-0.003876,0.006738,0.005361,-0.022278,0.000627,0.027753
0.031107,0.024247,-0.004013,-0.004542,0.00024,-0.004266,-0.00222,0.025731
0.01839,-0.026656,-0.000278,0.002639,0.002786,-0.039452,0.002966,-0.028805
0.016914,-0.037975,0.004812,-0.005621,-0.031934,0.020122,-0.002826,-0.005356
-0.015291,0.041931,-5.7e-05,0.00156,-0.033086,0.000469,0.001925,0.006157
-0.003691,-0.052885,0.000797,-0.002854,-0.35592,0.020334,-0.033651,-0.010318
0.019321,-0.003869,-0.000535,-0.007555,0.602513,-0.014267,0.068562,0.001735
0.000501,0.009527,-0.00108,-0.000115,0.238362,-0.004499,0.017129,0.039058
-0.017167,0.006377,0.001569,-0.004911,0.047271,-0.014444,-0.004748,-0.018595
-0.008844,0.01134,0.000717,0.003305,0.008707,0.011273,0.001124,-0.009691
-0.008814,-0.022668,-0.000782,0.003407,-0.041559,-0.020173,-0.006159,-0.024136
-0.010088,-0.002713,0.001752,0.013889,-0.053107,0.004708,-0.001721,-0.0062
0.004144,8e-05,-0.001224,0.003383,0.011376,0.005326,-0.004821,0.031135
0.009954,0.003327,0.000731,-0.028197,-0.106545,-0.015238,-0.009626,0.04112
0.028562,0.011064,-0.000853,0.015361,0.121522,-0.002646,0.016115,-0.085183
-0.032322,0.030167,-0.003441,0.000297,-0.01677,0.001059,-0.019171,0.037353
0.01322,-0.003144,0.001285,0.003215,-0.024951,0.001877,-0.009187,0.037443
0.072738,-0.050796,-0.002593,0.010764,-0.080009,-0.057384,0.002125,-0.040694
-0.066631,0.021526,0.006219,-0.00978,0.043879,-0.017269,0.023744,0.024942
-0.123262,-0.006605,0.005705,-0.021733,-0.031266,0.011614,-0.000971,-0.059337
0.004171,-0.019948,-0.000221,0.001398,-0.117363,0.015171,0.004071,-0.003446
0.01912,0.016727,-0.002812,0.00467,-0.399586,-0.005826,-0.044425,-0.005414
0.035443,2.8e-05,-0.000322,0.017251,0.334925,0.002222,0.03762,0.046084
0.023095,0.028638,-0.004598,-0.028108,-0.39496,0.012244,-0.030433,-0.120672
0.003474,0.005218,0.001744,-0.017671,0.152771,0.006851,0.015068,0.062408
0.000124,0.003376,0.007666,0.018542,0.135412,-0.00241,0.009902,0.081568
0.032873,-0.015019,-0.00369,0.001201,0.02852,-0.0069,-0.006809,-0.007315
-0.006276,0.013072,0.002417,-0.005595,-0.059572,0.013699,-0.006632,-0.000448
0.036768,-0.073589,0.004698,0.002419,-0.307764,-0.003771,-0.033955,0.052624
-0.086727,0.009353,0.004609,-0.003414,-0.137356,0.009751,0.000526,-0.020142
-0.042307,0.019032,-0.0016,-0.005987,0.01534,0.009366,0.001006,0.01368
0.011641,0.016772,0.001124,-0.007599,-0.069739,0.00485,-0.013817,0.00866
0.03418,-0.015786,-0.001385,0.018189,-0.125146,-0.020236,-0.023111,-0.002844
0.010249,-0.014554,-0.003847,-0.003124,0.629409,0.00065,0.0776,0.029617
0.013901,0.01207,-0.007295,-0.004873,0.462323,-0.017871,0.02615,-0.085802
-0.005286,0.00393,0.000644,0.000538,0.092949,0.030074,0.003224,0.101501
0.004645,-0.003573,-0.000204,0.002554,0.150847,-0.005228,0.019201,0.026964
-0.027406,0.003956,0.002108,-0.007225,0.053842,-0.002485,-0.005389,-0.01291
-0.003763,-0.002125,0.002617,0.003479,-0.226657,0.035257,-0.015506,0.050495
0.00788,0.076947,0.002908,0.002312,0.136047,-0.031961,0.014008,-0.020752
0.075688,-0.054194,0.00142,-0.005331,-0.068546,-0.000504,0.000184,-0.028166
-0.071929,-0.008779,0.006764,0.001526,-0.050476,-0.017308,-0.006752,-0.017626
-0.014922,0.001864,-0.001431,4.3e-05,-0.009408,0.042784,0.001741,-0.018086
0.000597,0.019712,0.000725,0.001508,0.006376,-0.089209,-0.006306,0.028615
-0.007897,-0.014004,-0.000749,0.002106,0.009343,0.006314,0.002921,0.011175
-0.01474,0.018896,-0.000217,0.002466,0.014447,-0.006163,0.001665,-0.079374
0.031102,0.022637,-0.000491,4.4e-05,0.006572,-0.023213,0.019538,-0.005729
0.035497,-0.022211,-0.002952,-0.001785,0.01174,-0.001753,-0.007441,1.5e-05
-0.0643,-0.014381,0.00514,0.000911,0.008344,0.016671,-0.000506,0.013114
0.020723,0.001945,-0.000503,-0.005351,-0.171826,0.006493,-0.012314,0.124742
0.030206,0.005945,0.004473,0.002518,0.006638,-0.016558,0.003155,-0.034795
-0.023185,0.007497,-0.00358,0.001763,0.020442,0.015192,0.000927,0.023264
-0.005853,0.006359,0.001671,-0.000974,-0.019024,-0.010075,0.000965,-0.040891
-0.004227,-0.001927,0.00722,6.2e-05,-0.026559,-0.014416,-0.002725,0.018943
0.006822,0.037891,0.00703,-0.001686,0.002925,-0.03508,5.4e-05,0.012604
0.076924,-0.01624,-0.006406,-0.001587,-0.00413,0.037209,0.012828,0.05013
-0.046258,-0.016972,-0.002948,0.001841,0.001325,-0.002319,-0.008553,0.024547
0.001068,-0.006901,-0.003435,-0.007087,-0.059923,-0.028664,-0.001071,-0.074812
0.019861,0.001743,-0.001471,0.000982,0.155541,-0.009543,0.011126,0.018201
0.008717,-0.001442,-0.003136,0.002645,-0.218877,0.013206,-0.010773,0.028234
-0.058501,-0.003548,0.002561,0.001733,0.218733,0.016861,0.018119,0.048782
-0.021719,0.00306,0.0057,-0.002556,-0.247076,-0.019612,-0.019455,-0.112878
-0.000596,0.070687,-0.000161,0.001378,-0.010121,-0.009464,-0.008352,0.097837
0.007367,-0.100715,-0.001196,-0.005666,-0.024743,-0.010294,0.013014,0.126792
0.008113,-0.048219,-0.001572,-0.000818,-0.013662,0.040451,-0.018957,-0.070394
0.03232,0.011113,0.003129,0.00715,-0.010128,0.011368,0.000643,0.029156
0.001018,-0.011037,-0.001387,-0.000304,0.006561,-0.000903,0.001688,-0.014853
